# Test shortening and extending codes.
#
# Format:
# full code,lat,lng,shortcode
9C3W9QCJ+2VX,51.3701125,-1.217765625,+2VX
# Adjust so we can't trim by 8 (+/- .000755)
9C3W9QCJ+2VX,51.3708675,-1.217765625,CJ+2VX
9C3W9QCJ+2VX,51.3693575,-1.217765625,CJ+2VX
9C3W9QCJ+2VX,51.3701125,-1.218520625,CJ+2VX
9C3W9QCJ+2VX,51.3701125,-1.217010625,CJ+2VX
# Adjust so we can't trim by 6 (+/- .0151)
9C3W9QCJ+2VX,51.3852125,-1.217765625,9QCJ+2VX
9C3W9QCJ+2VX,51.3550125,-1.217765625,9QCJ+2VX
9C3W9QCJ+2VX,51.3701125,-1.232865625,9QCJ+2VX
9C3W9QCJ+2VX,51.3701125,-1.202665625,9QCJ+2VX
